PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
11,1/15/2026,,4,2,Sample Pitcher,,Right,TEAM_A,Sample Batter 2,,Left,TEAM_B,Undefined,1,Top,2,0,1,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,81.95,0.981225,1.014803,2537,49.8,8:00,5.55,1.97,6.287,-55.63,-4.83,-15.7,2.235,-0.652,93.551,-4.668,-0.175,0.485515,,,,,,,,,,,,6.74567,-2.74303,-1.29174,50,5.34283,-1.50969,-115.718,0.08925,9.13052,21.95142,-35.8869,TEAM_A,TEAM_B,Sample Field,College,SAMPLE,,,77.63397,,,6.52147,,,,,,,,1/15/2026,,,,v3,471256,,,,Sample Catcher 1,,CAL_MAT,e7a711ec-267b-46ee-8082-a459a9de7af8,,-116.761,10.97571,5.29808,1.79447,-17.9434,-1.2097,-1.94354,4.56526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,
12,1/15/2026,,4,3,Sample Pitcher,,Right,TEAM_A,Sample Batter 3,,Left,TEAM_B,Undefined,1,Top,2,0,2,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,85.43,1.867821,-0.56329,1607,253.9,2:45,5.61,1.79,6.526,-48.396,5.13,13.49,1.291,0.605,70.909,-7.93,1.121,0.472184,,,,,,,,,,,,-6.58327,1.03185,-1.11184,50,5.44817,0.62317,-118.056,2.408,-9.31074,22.02381,-30.7147,TEAM_A,TEAM_B,Sample Field,College,SAMPLE,,,79.82568,,,6.7978,,,,,,,,1/15/2026,,,,v3,471256,,,,Sample Catcher 1,,CAL_MAT,51b59985-d7c4-452d-9213-da84ca50e976,,-119.015,11.0119,5.31423,3.74515,-15.3574,-1.14779,1.0285,-4.65537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,
13,1/15/2026,,4,4,Sample Pitcher,,Right,TEAM_A,Sample Batter 4,,Left,TEAM_B,Undefined,1,Top,2,1,2,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,1,0,,84.48,-0.42125,-1.37363,1679,237.9,2:45,5.67,1.89,5.726,-6.682,4.11,14.18,3.621,0.016,73.326,-4.386,-2.463,0.464242,86.1,32.01173,-26.5578,4505.434,92.53742,58.20826,-59.4706,303.635,287.3292,-43.3971,4.655446,-5.18158,1.82988,-0.8413,50,5.26572,2.48894,-119.696,-2.23943,-7.57038,21.57658,-29.5006,TEAM_A,TEAM_B,Sample Field,College,SAMPLE,,,81.19129,70.24913,,6.20037,,,,1.41869,1.73408,-0.4226,,1/15/2026,,,,FlyBall,v3,,,,Sample Catcher 2,,Right,TEAM_A,,55.09069,-120.61,10.78829,5.33412,-0.98953,-14.7503,-0.95355,2.80968,-3.78519,136.0768,1.42007,97.05575,-23.5982,5.75914,-1.2767,0.27687,-0.06215,0.0099,-0.00065,1.73517,67.82119,-18.5387,0.59188,0.39243,-0.23782,0.07011,-0.00996,0.00054,-0.42439,-48.4856,-1.77612,2.16076,-0.95888,0.30748,-0.06608,0.00785,-0.00038,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
14,1/15/2026,,1,1,Sample Pitcher,,Right,TEAM_A,Sample Batter 5,,Right,TEAM_B,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.27,-0.64663,-2.69405,2275,207.2,12:30,5.85,2.06,6.859,-13.52,18.72,10.09,2.052,-0.856,78.916,-2.199,-2.401,0.387121,,,,,,,,,,,,-3.13717,9.133,-1.72374,50,6.00745,6.41142,-140.334,-1.89426,-6.3076,29.30689,-13.8112,TEAM_A,TEAM_B,Sample Field,College,SAMPLE,,,97.36597,,,7.72989,,,,,,,,1/15/2026,,,,v3,471256,,,,Sample Catcher 1,,SAN_GAU,d47edb33-d1ac-4a7e-aa27-e30c81b9425c,,-141.138,14.65344,6.05422,-1.51539,-6.90558,-1.90199,6.58445,-3.1538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,
15,1/15/2026,,1,2,Sample Pitcher,,Right,TEAM_A,Sample Batter 6,,Right,TEAM_B,Undefined,1,Bottom,0,1,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Double,0,0,,91.39,-2.31858,-2.29121,2195,191.2,12:30,5.58,1.62,6.829,-37.08,17.27,7.44,3.087,0.226,78.284,-5.238,-1.048,0.387995,87.5,34.83502,156.8314,4002.995,-104.928,41.31338,33.01587,196.0221,59.18905,166.9478,2.949956,-2.87579,9.09099,-1.84388,50,5.8483,5.431,-139.987,-6.03163,-5.74769,29.46822,-14.0044,TEAM_A,TEAM_B,Sample Field,College,SAMPLE,,,97.14661,41.43882,,7.59288,,,,0.97734,2.80711,-0.22056,,1/15/2026,,,,FlyBall,v3,,,,Sample Catcher 3,,Right,TEAM_B,,53.83222,-140.792,14.73411,6.00773,-5.64935,-7.00218,-1.99427,5.5879,-2.87385,309.6804,0.97737,-77.4036,3.34795,0.25465,0.09998,-0.17001,0.10573,-0.02738,0.00256,2.8072,58.58667,-24.8724,2.47234,-0.40761,0.00464,0.02104,-0.00403,0.0002,-0.2205,33.12211,-8.96452,1.64179,-0.38761,0.11738,-0.05062,0.01435,-0.00153,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
16,1/15/2026,,1,3,Sample Pitcher,,Right,TEAM_A,Sample Batter 7,,Right,TEAM_B,Undefined,1,Bottom,0,1,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,82.9,2.31031,-0.689,3145,85,8:15,5.74,1.75,6.646,-48.505,-1.98,-21.33,2.072,-0.299,86.975,-6.06,-2.073,0.474022,,,,,,,,,,,,7.34378,-2.85752,-2.14335,50,5.82921,1.97821,-116.581,3.08509,10.11388,21.77277,-36.1094,TEAM_A,TEAM_B,Sample Field,College,SAMPLE,,,79.51617,,,6.53221,,,,,,,,1/15/2026,,,,v3,471256,,,,Sample Catcher 1,,SAN_GAU,68d12b21-ef73-4291-9f35-c33a16f6c587,,-117.445,10.88638,5.67837,4.51789,-18.0547,-2.21388,1.5769,5.05694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,
17,1/15/2026,,1,4,Sample Pitcher,,Right,TEAM_A,Sample Batter 8,,Right,TEAM_B,Undefined,1,Bottom,0,2,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.33,0.208045,-2.22003,2831,81.9,8:45,5.45,1.81,6.759,-69.837,-0.32,-18.59,3.738,-0.039,83.253,-5.745,0.121,0.472218,,,,,,,,,,,,7.67024,0.05114,-2.19992,50,5.58756,5.10198,-116.595,-0.94768,10.59996,21.12138,-32.1034,TEAM_A,TEAM_B,Sample Field,College,SAMPLE,,,79.81992,,,5.8976,,,,,,,,1/15/2026,,,,v3,471256,,,,Sample Catcher 1,,SAN_GAU,6e507248-0e8f-46cc-9577-e94d77eb066e,,-117.409,10.56069,5.60024,0.28944,-16.0517,-2.38866,4.69351,5.29998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,
18,1/15/2026,,1,5,Sample Pitcher,,Right,TEAM_A,Sample Batter 9,,Right,TEAM_B,Undefined,1,Bottom,0,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.66,0.222458,-2.53476,2388,200,12:15,5.69,2.18,6.588,-34.512,13.63,5.59,3.087,-0.591,70.106,-4.521,-5.747,0.387721,,,,,,,,,,,,-2.22331,9.49138,-1.79045,50,6.2115,6.10379,-140.941,0.26834,-4.51629,29.06968,-12.8937,TEAM_A,TEAM_B,Sample Field,College,SAMPLE,,,97.21538,,,7.75306,,,,,,,,1/15/2026,,,,v3,471256,,,,Sample Catcher 1,,SAN_GAU,0f005d93-a573-4f8b-9f01-1878a3cc5072,,-141.808,14.53484,6.19777,0.65271,-6.44684,-1.97442,6.23842,-2.25814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,
19,1/15/2026,,1,6,Sample Pitcher,,Right,TEAM_A,Sample Batter 1,,Right,TEAM_B,Undefined,1,Bottom,0,3,2,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,79.42,-1.07101,-1.40109,2808,84.6,8:30,5.6,1.98,7.735,8.735,-0.31,-16.1,1.642,-0.328,85.038,-8.312,-3.137,0.473523,,,,,,,,,,,,8.07733,-1.19598,-2.30704,50,5.38225,3.42038,-116.574,-3.64848,11.11194,21.96887,-33.8193,TEAM_A,TEAM_B,Sample Field,College,SAMPLE,,,79.60007,,,5.84912,,,,,,,,1/15/2026,,,,v3,471256,,,,Sample Catcher 1,,SAN_GAU,f2c32106-fe0c-40ec-b904-6ac0598f9ba5,,-117.432,10.98444,5.49895,-2.32758,-16.9097,-2.43216,2.98637,5.55597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,
20,1/15/2026,,2,1,Sample Pitcher,,Right,TEAM_A,Sample Batter 2,,Right,TEAM_B,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Single,0,0,,90.97,-1.25272,-2.63464,2274,220.8,12:45,5.84,2.04,6.335,-20.236,16.32,7.7,2.212,0.158,77.912,-5.25,-3.056,0.391341,91.4,,,,,,,,,,,-3.56209,9.22339,-2.03127,50,5.67029,6.14929,-138.501,-3.36317,-7.00687,27.25653,-14.0309,TEAM_A,TEAM_B,Sample Field,College,SAMPLE,,,96.3161,,,7.22698,,,,,,,,1/15/2026,,,,v3,471256,,,,Sample Catcher 1,,SAN_GAU,d98f9515-db94-4ed6-bcee-6117d6572402,,-139.252,13.62826,5.75762,-2.97661,-7.01546,-2.20334,6.34234,-3.50344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,
21,1/15/2026,,2,2,Sample Pitcher,,Right,TEAM_A,Sample Batter 3,,Right,TEAM_B,Undefined,1,Bottom,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.83,-1.99826,-2.77829,2310,220.4,12:30,5.59,2.1,6.189,-34.746,16.37,4.94,2.374,1.241,89.986,-6.146,-5.873,0.389713,,,,,,,,,,,,-3.01154,10.01107,-1.99148,50,5.65289,6.58982,-139.57,-5.16443,-6.00213,28.35507,-12.2216,TEAM_A,TEAM_B,Sample Field,College,SAMPLE,,,96.71846,,,7.4572,,,,,,,,1/15/2026,,,,v3,471256,,,,Sample Catcher 1,,SAN_GAU,cb6f543b-de7d-4a49-a8d8-47c727a5a77b,,-140.375,14.17753,5.79452,-4.81762,-6.1108,-2.1809,6.76014,-3.00107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,
